id,song_name,artist,genre
11,How Long,Charlie Puth,"Pop Music, Contemporary R&B"
12,Counting Stars,OneRepublic,Pop Rock
13,Secrets,OneRepublic,Pop Rock
14,Let's Hurt Tonight,OneRepublic,Pop Rock
15,Attention,Charlie Puth,"Pop Music, Contemporary R&B"
16,See You Again,"Wiz Khalifa,Charlie Puth","Pop Music, Contemporary R&B"
17,Wish You Were Here,Pink Floyd,Classic rock
18,Shine On You Crazy Diamond,Pink Floyd,‎Progressive rock‎; ‎blues rock
19,Rap God,Eminem,Hip-Hop/Rap
20,Lose Yourself,Eminem,"Hip-Hop/Rap,Pop"
21,Despacito ,Luis Fonzi,"Reggaeton, Pop, Latin Pop"
22,Set Fire To The Rain,Adele,Pop
23,Cheap Thrills,Sia,Pop
24,Rockabye,"Clean Bandit, Sean Paul, Anne Marie","Dance, Pop"
25,Hymn For The Weekend,Coldplay,"Indie, R&B"
26,Burn,Ellie Goulding,Pop
27,Castle Of Glass,Linkin Park,Hard Rock
28,I Took A Pill In Ibiza,Mike Posner,"Pop, Contemporary"
29,Let Her Go,Passenger,"Neo Folk, Pop"
30,We Don't Talk Anymore,Selena Gomez,Pop
1,Fix You,Coldplay,Alternative rock
2,Enter sandman,Metallica,Metal
3,Fade to Black,Metallica,Metal
4,For Whom The Bell Tolls,Metallica,Metal
5,Marvin Gaye,Charlie Puth,Pop
6,Nothing else matters,Metallica,Rock
7,One,Metallica,Metal
8,Stairway to heaven,Led Zeppelin,Rock
9,The Unforgiven,Metallica,Metal
10,The Way I Am,Charlie Puth,Pop
31,Adventure of a Lifetime,Coldplay,Disco
32,A Sky Full of Stars,Coldplay,Alternative/Indie
33,Count on Me,Bruno Mars,Pop
34,Grenade,Bruno Mars,Pop
35,Make You Feel My Love,Adele,Pop
36,Rolling in the Deep,Adele,Pop
37,The Remedy (I Won't Worry),Jason Mraz,Rock
38,Bohemian Rhapsody,Queen,Hard Rock
39,Eye of the Tiger,Survivor,Rock
40,Last Christmas,Wham!,Pop
41,Hurt,Johnny Cash,"Country Music,Folk,Classic Country"